15914865748|3|GZ|456999021756405|321999021756400
15914865748|3|GZ|456999021756406|321999021756402
15914865737|3|GZ|456999021756402|321999021756403
15914865723|3|GZ|456999021756407|321999021756403
15914865733|3|GZ|456999021756400|321999021756403
15914865734|3|GZ|456999021756400|321999021756406
15914865716|3|GZ|456999021756400|321999021756409
15914865707|3|GZ|456999021756403|321999021756403
15914865702|3|GZ|456999021756401|321999021756405
15914865713|3|GZ|456999021756400|321999021756402
15914865708|3|GZ|456999021756401|321999021756403
15914865704|3|GZ|456999021756407|321999021756400
15914865713|3|GZ|456999021756403|321999021756401
15914865725|3|GZ|456999021756402|321999021756408
15914865728|3|GZ|456999021756405|321999021756407
15914865718|3|GZ|456999021756408|321999021756408
15914865727|3|GZ|456999021756401|321999021756402
15914865723|3|GZ|456999021756404|321999021756401
15914865712|3|GZ|456999021756405|321999021756400
15914865717|3|GZ|456999021756409|321999021756400
15914865742|3|GZ|456999021756400|321999021756404
15914865702|3|GZ|456999021756400|321999021756402
15914865728|3|GZ|456999021756404|321999021756405
15914865724|3|GZ|456999021756404|321999021756405
15914865721|3|GZ|456999021756404|321999021756401
15914865702|3|GZ|456999021756405|321999021756409
15914865738|3|GZ|456999021756404|321999021756403
15914865729|3|GZ|456999021756409|321999021756408
15914865708|3|GZ|456999021756407|321999021756407
15914865729|3|GZ|456999021756404|321999021756401
